Movie_Title,Year,Rating,Runtime(Mins),main_genre,side_genre,text_data,cluster_id
Kantara,2022,9.3,148,Action," Adventure,  Drama","Action  Adventure,  Drama",24
The Dark Knight,2008,9.0,152,Action," Crime,  Drama","Action  Crime,  Drama",5
The Lord of the Rings: The Return of the King,2003,9.0,201,Action," Adventure,  Drama","Action  Adventure,  Drama",24
Inception,2010,8.8,148,Action," Adventure,  Sci-Fi","Action  Adventure,  Sci-Fi",160
The Lord of the Rings: The Two Towers,2002,8.8,179,Action," Adventure,  Drama","Action  Adventure,  Drama",24
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178,Action," Adventure,  Drama","Action  Adventure,  Drama",24
The Matrix,1999,8.7,136,Action, Sci-Fi,Action  Sci-Fi,6
The Empire Strikes Back,1980,8.7,124,Action," Adventure,  Fantasy","Action  Adventure,  Fantasy",16
Terminator 2: Judgment Day,1991,8.6,137,Action, Sci-Fi,Action  Sci-Fi,6
Star Wars,1977,8.6,121,Action," Adventure,  Fantasy","Action  Adventure,  Fantasy",16
Seppuku,1962,8.6,133,Action," Drama,  Mystery","Action  Drama,  Mystery",129
Shichinin no samurai,1954,8.6,207,Action, Drama,Action  Drama,63
Kaithi,2019,8.5,145,Action," Adventure,  Crime","Action  Adventure,  Crime",46
Asuran,2019,8.5,141,Action, Drama,Action  Drama,63
Sita Ramam,2022,8.5,163,Action," Drama,  Mystery","Action  Drama,  Mystery",129
Gladiator,2000,8.5,155,Action," Adventure,  Drama","Action  Adventure,  Drama",24
Léon,1994,8.5,110,Action," Crime,  Drama","Action  Crime,  Drama",5
Vikram,2022,8.4,175,Action, Thriller,Action  Thriller,48
Spider-Man: Into the Spider-Verse,2018,8.4,117,Animation," Action,  Adventure","Animation  Action,  Adventure",42
Avengers: Endgame,2019,8.4,181,Action," Adventure,  Drama","Action  Adventure,  Drama",24
Avengers: Infinity War,2018,8.4,149,Action," Adventure,  Sci-Fi","Action  Adventure,  Sci-Fi",160
Top Gun: Maverick,2022,8.4,130,Action, Drama,Action  Drama,63
The Dark Knight Rises,2012,8.4,164,Action, Drama,Action  Drama,63
K.G.F: Chapter 2,2022,8.4,168,Action," Crime,  Drama","Action  Crime,  Drama",5
Shershaah,2021,8.4,135,Action," Biography,  Drama","Action  Biography,  Drama",59
Oldeuboi,2003,8.4,101,Action," Drama,  Mystery","Action  Drama,  Mystery",129
Mononoke-hime,1997,8.4,134,Animation," Action,  Adventure","Animation  Action,  Adventure",42
